dateTime,activities-calories,activities-steps,Activities-distance,activities-floors,sleep-startTime,sleep-timeInBed,sleep-minutesAsleep,sleep-efficiency
2015-09-27,1777,12,0,0,,0,0,0
2015-09-28,1838,2333,1,0,23:52,533,533,100
2015-09-29,1789,575,0,0,08:56,158,158,100
2015-09-30,1783,252,0,0,08:56,412,412,100
2015-10-01,1793,641,0,0,08:56,330,330,100
2015-10-02,2007,9115,6,0,02:33,397,397,100
2015-10-03,1960,7834,5,0,02:53,425,425,100
2015-10-04,2105,12794,9,0,,0,0,0
2015-10-05,1872,4423,3,0,00:33,490,490,100
2015-10-06,1965,7926,5,0,01:20,408,408,100
2015-10-07,1975,8347,6,0,00:34,516,516,100
2015-10-08,1858,3694,2,0,01:59,381,381,100
2015-10-09,2063,11525,8,0,01:00,465,465,100
2015-10-10,2078,10950,8,0,,0,0,0
2015-10-11,2001,9045,6,0,01:33,500,500,100
2015-10-12,1918,5763,4,0,00:45,486,486,100
2015-10-13,1897,5291,3,0,01:04,466,466,100
2015-10-14,2003,9305,6,0,00:59,514,514,100
2015-10-15,1870,4447,3,0,00:27,476,476,100
2015-10-16,2098,13231,9,0,01:43,417,417,100
2015-10-17,1943,7335,5,0,,0,0,0
2015-10-18,1932,6948,5,0,01:12,508,508,100
2015-10-19,2197,12474,9,0,01:38,422,422,100
2015-10-20,1987,6867,5,0,01:08,467,467,100
2015-10-21,1919,6161,4,0,00:48,531,531,100
2015-10-22,1969,8148,6,0,01:50,414,414,100
2015-10-23,2295,16847,12,0,00:56,458,458,100
2015-10-24,2101,12524,9,0,03:35,335,335,100
2015-10-25,2465,16598,12,0,,0,0,0
2015-10-26,1999,8783,6,0,22:52,525,525,100
2015-10-27,2018,6945,5,0,23:43,455,455,100
2015-10-28,2014,9381,6,0,23:58,493,493,100
2015-10-29,1945,7371,5,0,00:20,440,440,100
2015-10-30,2044,11080,8,0,00:08,450,450,100
2015-10-31,2059,10488,7,0,02:06,372,372,100
2015-11-01,2541,22751,16,0,,0,0,0
2015-11-02,1861,3761,2,0,23:02,527,527,100
2015-11-03,2104,8414,6,0,00:03,465,465,100
2015-11-04,2016,9623,7,0,23:44,486,486,100
2015-11-05,1958,7217,5,0,00:40,404,404,100
2015-11-06,2264,14333,10,0,00:01,447,447,100
2015-11-07,1894,4699,3,0,00:33,507,507,100
2015-11-08,2774,18176,13,0,,0,0,0
2015-11-09,1910,6016,4,0,23:43,484,484,100
2015-11-10,2196,9616,7,0,00:11,442,442,100
2015-11-11,1972,7875,5,0,23:32,507,507,100
2015-11-12,1903,5474,4,0,00:54,414,414,100
2015-11-13,2259,13683,10,0,21:27,529,529,100
2015-11-14,2223,16258,12,0,,0,0,0
2015-11-15,1979,8421,6,0,23:46,516,516,100
2015-11-16,1880,4275,3,0,23:02,523,523,100
2015-11-17,2038,9560,7,0,23:40,491,491,100
2015-11-18,1966,8093,5,0,23:44,467,467,100
2015-11-19,1887,5137,3,0,00:48,406,406,100
2015-11-20,2385,16605,12,0,23:41,470,470,100
2015-11-21,2006,8630,6,0,,0,0,0
2015-11-22,2772,17429,12,0,,0,0,0
2015-11-23,1867,4341,3,0,23:21,509,509,100
2015-11-24,1940,6296,4,0,00:19,441,441,100
2015-11-25,1867,4065,3,0,,0,0,0
2015-11-26,2028,9820,7,0,00:15,437,437,100
2015-11-27,2192,9979,7,0,23:55,464,464,100
2015-11-28,1860,3499,2,0,,0,0,0
2015-11-29,2696,17428,12,0,23:58,401,401,100
2015-11-30,1907,5523,4,0,23:20,508,508,100
2015-12-01,2053,11225,8,0,23:44,485,485,100
2015-12-02,1951,6842,5,0,23:57,479,479,100
2015-12-03,1984,7981,5,0,23:58,471,471,100
2015-12-04,2373,14483,10,0,00:05,415,415,100
2015-12-05,1960,7093,5,0,,0,0,0
2015-12-06,3172,28125,20,0,23:57,451,451,100
2015-12-07,2035,9455,6,0,23:04,544,544,100
2015-12-08,1957,6960,5,0,23:27,613,613,100
2015-12-09,1934,6743,4,0,00:31,392,392,100
2015-12-10,1932,6358,4,0,23:53,421,421,100
2015-12-11,1996,8791,6,0,00:59,348,348,100
2015-12-12,1972,8780,6,0,00:47,406,406,100
2015-12-13,1947,7069,5,0,,0,0,0
2015-12-14,1945,6878,5,0,23:25,506,506,100
2015-12-15,1921,5720,4,0,23:55,471,471,100
2015-12-16,1931,6459,4,0,21:50,569,569,100
2015-12-17,1966,7565,5,0,00:16,445,445,100
2015-12-18,2326,13565,10,0,00:35,385,385,100
2015-12-19,1946,7098,5,0,00:02,543,543,100
2015-12-20,2652,19488,14,0,,0,0,0
2015-12-21,1940,6834,5,0,23:39,489,489,100
2015-12-22,1918,6232,4,0,00:03,463,463,100
2015-12-23,2333,20429,15,0,23:40,503,503,100
2015-12-24,1892,5166,3,0,00:45,503,503,100
2015-12-25,1874,4429,3,0,00:23,438,438,100
2015-12-26,3023,27833,20,0,00:22,413,413,100
2015-12-27,1882,5014,3,0,23:12,577,577,100
2015-12-28,1963,7627,5,0,00:23,447,447,100
2015-12-29,1975,7784,5,0,00:29,443,443,100
2015-12-30,1902,5306,3,0,23:21,511,511,100
2015-12-31,2075,10573,7,0,00:24,489,489,100
2016-01-01,2364,12361,9,0,,0,0,0
2016-01-02,1956,7383,5,0,23:47,387,387,100
2016-01-03,2091,11721,8,0,00:11,462,462,100
2016-01-04,1869,4043,2,0,00:12,457,457,100
2016-01-05,2569,18881,13,0,00:22,358,358,100
2016-01-06,2400,14551,10,0,23:23,449,449,100
2016-01-07,1987,8305,6,0,23:42,486,486,100
2016-01-08,1983,8677,6,0,23:40,480,480,100
2016-01-09,1881,4882,3,0,00:12,523,523,100
2016-01-10,2725,18204,13,0,,0,0,0
2016-01-11,1950,7461,5,0,23:24,504,504,100
2016-01-12,2295,12795,9,0,00:15,453,453,100
2016-01-13,1852,4052,2,0,22:52,521,521,100
2016-01-14,1937,7061,5,0,00:08,447,447,100
