dateTime,foods-log-caloriesIn,foods-log-water,activities-calories,activities-caloriesBMR,activities-steps,activities-distance,activities-floors,activities-elevation,activities-minutesSedentary,activities-minutesLightlyActive,activities-minutesFairlyActive,activities-minutesVeryActive,sleep-startTime,sleep-timeInBed,sleep-minutesAsleep,sleep-awakeningsCount,sleep-minutesAwake,sleep-minutesToFallAsleep,sleep-minutesAfterWakeup,sleep-efficiency,body-weight,body-bmi,body-fat
2015-06-24,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-06-25,0,0.0,1778,1778,0,0.0,0,0,995,0,0,0,01:20,445,445,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-26,0,0.0,1778,1778,0,0.0,0,0,1027,0,0,0,01:24,413,413,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-27,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-06-28,0,0.0,1778,1778,0,0.0,0,0,896,0,0,0,01:47,544,544,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-29,0,0.0,1778,1778,0,0.0,0,0,1002,0,0,0,01:27,438,438,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-30,0,0.0,1778,1778,0,0.0,0,0,1010,0,0,0,01:18,430,430,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-01,0,0.0,1778,1778,0,0.0,0,0,894,0,0,0,00:39,546,546,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-02,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-07-03,0,0.0,1778,1778,0,0.0,0,0,1074,0,0,0,00:55,366,366,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-04,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-07-05,0,0.0,1778,1778,0,0.0,0,0,926,0,0,0,01:35,514,514,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-06,0,0.0,1778,1778,0,0.0,0,0,1107,0,0,0,02:59,333,333,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-07,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-07-08,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-07-09,0,0.0,1778,1778,0,0.0,0,0,946,0,0,0,01:21,494,494,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-10,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-07-11,0,0.0,1778,1778,0,0.0,0,0,1036,0,0,0,01:16,404,404,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-12,0,0.0,1778,1778,0,0.0,0,0,1109,0,0,0,03:54,331,331,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-13,0,0.0,1778,1778,0,0.0,0,0,1128,0,0,0,04:00,312,312,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-14,0,0.0,1778,1778,0,0.0,0,0,1130,0,0,0,05:45,310,310,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-15,0,0.0,1778,1778,0,0.0,0,0,1027,0,0,0,03:37,413,413,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-16,0,0.0,1778,1778,0,0.0,0,0,1260,0,0,0,05:36,180,180,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-17,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-07-18,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-07-19,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-07-20,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-07-21,0,0.0,1778,1778,0,0.0,0,0,896,0,0,0,00:42,544,544,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-22,0,0.0,1778,1778,0,0.0,0,0,1003,0,0,0,03:26,437,437,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-23,0,0.0,1778,1778,0,0.0,0,0,1047,0,0,0,02:22,393,393,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-24,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-07-25,0,0.0,1778,1778,0,0.0,0,0,1059,0,0,0,01:36,381,381,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-26,0,0.0,1778,1778,0,0.0,0,0,1213,0,0,0,05:25,227,227,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-27,0,0.0,1778,1778,0,0.0,0,0,1130,0,0,0,04:26,310,310,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-28,0,0.0,1778,1778,0,0.0,0,0,1183,0,0,0,05:30,257,257,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-29,0,0.0,1778,1778,0,0.0,0,0,1068,0,0,0,02:39,372,372,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-30,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-07-31,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-08-01,0,0.0,1778,1778,0,0.0,0,0,875,0,0,0,01:13,565,565,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-02,0,0.0,1778,1778,0,0.0,0,0,999,0,0,0,01:04,441,441,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-03,0,0.0,1778,1778,0,0.0,0,0,882,0,0,0,00:29,558,558,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-04,0,0.0,1778,1778,0,0.0,0,0,974,0,0,0,01:15,466,466,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-05,0,0.0,1778,1778,0,0.0,0,0,1029,0,0,0,03:28,411,411,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-06,0,0.0,1778,1778,0,0.0,0,0,878,0,0,0,03:08,562,562,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-07,0,0.0,1778,1778,0,0.0,0,0,1153,0,0,0,06:10,287,287,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-08,0,0.0,1778,1778,0,0.0,0,0,1057,0,0,0,05:04,383,383,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-09,0,0.0,1778,1778,0,0.0,0,0,859,0,0,0,05:31,581,581,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-10,0,0.0,1778,1778,0,0.0,0,0,947,0,0,0,06:39,493,493,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-11,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-08-12,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-08-13,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-08-14,0,0.0,1778,1778,0,0.0,0,0,1306,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-08-15,0,0.0,1778,1778,0,0.0,0,0,1138,0,0,0,21:46,231,231,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-16,0,0.0,1778,1778,0,0.0,0,0,1223,0,0,0,20:35,343,343,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-17,0,0.0,1778,1778,0,0.0,0,0,959,0,0,0,22:41,366,366,0,0,0,0,100,75.0,23.671255111694336,18.5
